path	ngenes_tscore	ngenes_path	mean_dev_geno	sd_dev_geno	mean_test_dev_geno	sd_test_dev_geno	mean_gene_corr	sd_gene_corr	CAD_HARD_beta	CAD_HARD_se_beta	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_qval	CAD_HARD_BHcorr	genes_path	improvement_sign	tissue	CAD_HARD_BHcorr_overall
A tetrasaccharide linker sequence is required for GAG synthesis	4	26	0.0560583172694121	0.0521237238478349	0.0176726355186666	0.0231110357383875	-0.000630732502872634	0.00153077813138375	7.67368057001771e-05	4.95589689807558e-05	1.54839390888004	0.121527486845486	0.475955243914286	0.662255515430416	B3GALT6,HSPG2,CSPG4,SDC4	FALSE	Adipose_Subcutaneous	0.532514549065399
A third proteolytic cleavage releases NICD	2	9	0.0703468153713535	0.0704271046831151	0.0584425191747435	0.0666269224583103	-0.00151901014288299	NA	2.22972892711058e-05	3.50889364450139e-05	0.635450701278644	0.525134509645486	0.6500218079632	0.904455897855816	NOTCH4,PSEN1	FALSE	Adipose_Subcutaneous	0.863052138119634
ABC transporter disorders	16	63	0.0479806232145299	0.0526303426234141	0.0293638197226501	0.0499408085382245	0.000109058259687438	0.00197696522661883	-0.000140760322596869	9.91797586203735e-05	-1.41924445627713	0.155827759198349	0.487335377785873	0.678090106012534	PSMB2,PSMB9,PSMB1,DERL1,VCP,PSMB7,PSMD13,ABCC8,PSMC3,OS9,PSMA4,PSMB3,PSMC5,UBA52,PSMF1,DERL3	FALSE	Adipose_Subcutaneous	0.581519678874223
ABC-family proteins mediated transport	18	103	0.0452952281433162	0.0486138837598427	0.0281451776553293	0.0470366601098566	7.2705514248853e-06	0.00200216660313853	-0.000184240570668213	0.00010522885607246	-1.75085596807539	0.0799707230534619	0.410737882093048	0.571510517617734	PSMB2,ABCD3,PSMB9,PSMB1,DERL1,VCP,PSMB7,PSMD13,PSMC3,OS9,EIF2S1,PSMA4,PSMB3,ABCC3,PSMC5,UBA52,PSMF1,DERL3	FALSE	Adipose_Subcutaneous	0.451291396727547
ADP signalling through P2Y purinoceptor 12	2	22	0.100883989918212	0.0447538831501928	0.0755015427402504	0.0549765648444231	0.000156857408031621	NA	-5.56566158782344e-05	3.4983523451609e-05	-1.59093797270654	0.111623535710795	0.461692548285536	0.642410059443075	P2RY12,GNB5	FALSE	Adipose_Subcutaneous	0.514448818311651
AKT phosphorylates targets in the cytosol	2	14	0.0796096375029985	0.0249590379628387	0.0458678713450394	0.0563378079657556	0.000911192740031324	NA	-6.77454375548661e-05	3.50329528257938e-05	-1.93376327401631	0.053142240209019	0.363154341022098	0.505301639953553	CASP9,GSK3B	FALSE	Adipose_Subcutaneous	0.380403597237528
AMER1 mutants destabilize the destruction complex	3	14	0.0423968632271749	0.0236324436419522	0.0147016884513158	0.0187795093167552	0.000299600895469066	0.000350812859009495	-2.25792341239121e-05	4.28711359871396e-05	-0.526676832885543	0.598418026331642	0.661249927844456	0.920078972534273	GSK3B,PPP2CB,PPP2R1B	FALSE	Adipose_Subcutaneous	0.896286185828504
APC/C-mediated degradation of cell cycle proteins	17	86	0.0603639066514065	0.0609547015707379	0.0457121754084149	0.0592307108601436	0.000168833357026507	0.0018588411168105	-9.08285350802047e-05	0.000102068958695689	-0.889874220731526	0.373533427636918	0.593558055224577	0.825890881184236	PSMB2,CDC14A,ANAPC4,SKP1,PSMB9,PSMB1,CDC26,PSMB7,PSMD13,PSMC3,CDC16,PSMA4,PSMB3,CDC27,PSMC5,UBA52,PSMF1	FALSE	Adipose_Subcutaneous	0.776495197188561
APC/C:Cdc20 mediated degradation of Cyclin B	5	23	0.0940255368505141	0.0566221205853046	0.0751926840719322	0.058678080872445	0.000961598972641349	0.00119602523989593	0.000100724214659692	5.52417685959689e-05	1.82333435767374	0.0682527656312754	0.398817821228476	0.554924659697761	ANAPC4,CDC26,CDC16,CDC27,UBA52	FALSE	Adipose_Subcutaneous	0.422436870409211
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	4	7	0.0623321052082031	0.044096784193004	0.0438390267213841	0.037955362509705	-0.000149964189364879	0.00169000499751817	-3.95195134507203e-05	4.9623326681302e-05	-0.79638984513328	0.425805478752049	0.613023992985502	0.852976252781737	NEIL2,NEIL1,LIG3,XRCC1	FALSE	Adipose_Subcutaneous	0.80865198272977
