path	ngenes_tscore	ngenes_path	mean_dev_geno	sd_dev_geno	mean_test_dev_geno	sd_test_dev_geno	mean_gene_corr	sd_gene_corr	CAD_HARD_beta	CAD_HARD_se_beta	CAD_HARD_z_t	CAD_HARD_pval	CAD_HARD_qval	CAD_HARD_BHcorr	genes_path	improvement_sign	tissue	CAD_HARD_BHcorr_overall
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	3	18	0.027768333097528	0.0193342346042159	0.0143520000685475	0.0167973178106678	-0.000690340184711023	0.00353541066930281	7.33427149885344e-05	4.29079823645248e-05	1.70930234764831	0.087394958684633	0.34380608980946	0.421869491922117	RAF1,MAP3K5,MAP3K11	TRUE	Adipose_Subcutaneous	0.409702607734343
AGE/RAGE pathway WP2324	11	66	0.0749072666423406	0.0755465041825586	0.0504984151056434	0.0619793578729394	0.000151678923245486	0.00160820719272947	0.000159315798623116	8.21325705151104e-05	1.93973958959199	0.0524113456409391	0.273783756305898	0.335948133534544	CASP9,CASP8,RAF1,MAPK9,AGER,MAPK8,SP1,NOS2,PRKCA,SMAD2,MMP9	FALSE	Adipose_Subcutaneous	0.323170703998701
AMP-activated Protein Kinase (AMPK) Signaling WP1403	5	69	0.0652937338193226	0.0825113506524721	0.0339039691271073	0.0527038244919525	-0.000462358500193465	0.00140404931051366	-4.77916281791031e-05	5.55345261696829e-05	-0.860575059793942	0.389472126948235	0.556091097922319	0.682355187695824	LEPR,PIK3CB,PPARGC1B,PIK3CG,ADRA1A	FALSE	Adipose_Subcutaneous	0.730056192592473
ATM Signaling Network in Development and Disease  WP3878	7	45	0.0775250965299257	0.0509854006826298	0.046059600856653	0.054454539528045	-0.00031020937332814	0.00137992791945054	-0.000163585434674282	6.5618123942553e-05	-2.49299164385585	0.0126671827304996	0.161536624392427	0.198214562450057	RIF1,CEP63,RNF8,MAP3K5,DCLRE1C,RNF40,PPP5C	FALSE	Adipose_Subcutaneous	0.179000570774432
ATM Signaling Pathway WP2516	5	40	0.169973762923363	0.195429825842985	0.131756577821768	0.179098275888829	-0.00058066116392194	0.00201780797921313	-0.000180034538777537	5.55540526387656e-05	-3.24070936729302	0.00119232678471821	0.123878637031994	0.152006084865033	MDM4,CDC25A,MAPK9,AP3B2,BID	TRUE	Adipose_Subcutaneous	0.0651920002666988
ATR Signaling WP3875	2	9	0.0578945843133956	0.0300383625525399	0.0059646917061141	0.000292544927617632	0.00198745284886259	NA	-3.30895784361494e-05	3.49997934681505e-05	-0.94542210559787	0.344443420999239	0.539236977694231	0.661674230178875	ATRIP,RPA1	FALSE	Adipose_Subcutaneous	0.701547133911864
Acetylcholine Synthesis WP528	3	7	0.0913324437091522	0.0590470151154505	0.0409527683854814	0.0284852332925095	0.000466995749783191	0.00200646046511325	8.32131303522681e-05	4.28334636764261e-05	1.94271308481797	0.052050834375861	0.273783756305898	0.335948133534544	PCYT1A,ACHE,PEMT	TRUE	Adipose_Subcutaneous	0.322754235670208
Adipogenesis WP236	20	130	0.0600234826321826	0.0782605142456369	0.031880640778543	0.0659574040130641	8.03273142053651e-06	0.00173682555394774	1.30771353357367e-05	0.00011078698542582	0.118038551960534	0.906037111346189	0.790863153226882	0.970433760544076	AGT,LPIN1,NCOA1,CTNNB1,SERPINE1,LPL,CISD1,FAS,NR1H3,BSCL2,WNT5B,SP1,STAT2,KLF5,MEF2A,RBL2,RARA,BMP2,LPIN3,PTGIS	FALSE	Adipose_Subcutaneous	0.977598035244176
Aflatoxin B1 metabolism WP699	2	7	0.149158899255617	0.157066982944899	0.0156214737211896	0.0117433946316922	0.000351148866133975	NA	1.93020376437547e-05	3.50686419772861e-05	0.550407331320575	0.582040021330843	0.679337093186803	0.833584985377648	AKR7A2,GSTM1	TRUE	Adipose_Subcutaneous	0.844072957656181
Alanine and aspartate metabolism WP106	2	12	0.0826143768006844	0.0645767813817953	0.0529304638110563	0.0296006340189608	0.00125086286583073	NA	7.00003516781871e-05	3.50778228253969e-05	1.99557287311189	0.0459804346904605	0.263330140363067	0.323120956305092	GAD1,GOT2	FALSE	Adipose_Subcutaneous	0.303930673303944
