path	ngenes_tscore	ngenes_path	mean_dev_geno	sd_dev_geno	mean_test_dev_geno	sd_test_dev_geno	mean_gene_corr	sd_gene_corr	Dx_beta	Dx_se_beta	Dx_z	Dx_pval	Dx_qval	Dx_pval_BHcorr	Dx_Cochran_stat	Dx_Cochran_pval	Dx_model	genes_path	improvement_sign	tissue	Dx_pval_BHcorr_overall
ABA:Astrocyte	11	38	0.160620194829506	0.111518513980455	0.0820662780738802	0.0909332995102867	0.00088629754045047	0.0329730319140195	-0.0150166389192856	0.0294260805197683	-0.510317332585205	0.609829161732915	0.34936157942101	0.790735420237416	41.8980594100398	0.196453772478981	fixed	C1QA,PPAP2B,BCAN,ATP13A5,SPARCL1,SPARC,PLA2G7,GLDC,LYZ,MFGE8,CST3	FALSE	DLPC_CMC	0.790735420237416
ABA:Choroid_plexus	43	101	0.130984225012774	0.0713182507511939	0.0613054169301768	0.0585714148370628	-4.16935513103475e-05	0.0342370956552765	0.041716834890378	0.0581882880491936	0.716928376636717	0.473418291636739	0.302535259731368	0.684750012112902	26.8303794842307	0.837286942359476	fixed	FHAD1,DNALI1,LEPR,ABCA4,F5,SPATA17,TTC21A,KIF9,HEMK1,WDR52,NEK11,RBP1,PCOLCE2,CLDN1,MSX1,TMPRSS11A,PRLR,ELOVL7,DUSP22,F13A1,CCND3,PERP,RNASET2,SOSTDC1,STEAP2,GGH,SLC39A12,FADS1,CTSC,ACAD8,SLCO1C1,CSRP2,EFS,FANCM,NID2,SYNE2,ST6GALNAC2,SLC26A11,ACAA2,PGPEP1,WFDC2,PLTP,TCN2	FALSE	DLPC_CMC	0.684750012112902
ABA:Neuron	17	67	0.142839990762749	0.115558408948897	0.0792406354851314	0.11693116884871	0.00113531870503638	0.0341833150817665	0.0960897061156422	0.0367101954499193	2.61752096217329	0.00885710480035331	0.0530243102585793	0.120013770044787	33.6510472965678	0.533195103733315	fixed	PTPRN,UCHL1,ATP6V1G2,YWHAG,NEFL,KIFC2,SH3GL2,KIAA1045,CHST1,MADD,RAB6A,GRIA4,CLSTN3,SNRPN,MAP2K1,FLYWCH1,CX3CL1	FALSE	DLPC_CMC	0.120013770044787
ABA:Oligodendrocyte	18	73	0.13833636009454	0.118696233143542	0.0736795985191365	0.108250049107664	-0.00172477398287277	0.034308563420764	0.0171136233384993	0.03804935455228	0.449774340192425	0.652873161726184	0.358991040297734	0.812530477969967	34.0889286989536	0.511923274732151	fixed	TSPAN2,S100A16,TMEM63A,SCD5,MTRR,SEPP1,HMGCS1,SERPINB1,ANLN,GPR37,ARHGEF10,CA2,CD81,PLEKHB1,GLTP,TTYH2,NPC1,OLIG2	FALSE	DLPC_CMC	0.812530477969967
CNV:SCZ	54	280	0.148029308367354	0.104598911128206	0.0867607155512968	0.0955425296867225	0.00311566858075813	0.10444721669933	0.15434099472273	0.0608217074772261	2.53759720212593	0.0111616367417573	0.0537364563433949	0.121625621967888	49.6054685320423	0.0519490995899783	fixed	FMO5,CCT8P1,CHD1L,ACP6,GJA5,SLC51A,PCYT1A,TCTEX1D2,PIGX,CEP19,NCBP2,PIGZ,MFI2,BDH1,TBL2,MLXIPL,ELN,TUBGCP5,CYFIP1,PWRN1,NPAP1,SNRPN,SNURF,SNORD116-20,ATP10A,OCA2,FAN1,OTUD7A,ABCC1,TUFM,NFATC2IP,QPRT,INO80E,DOC2A,MAPK3,MYO19,PIGW,GGNBP2,DHRS11,AATF,ACACA,TADA2A,SYNRG,DDX52,DGCR2,DGCR14,SLC25A1,CLTCL1,GNB1L,C22orf29,TXNRD2,COMT,ARVCF,DGCR8	FALSE	DLPC_CMC	0.121625621967888
CTX:black_M11	42	179	0.140881315479102	0.120580317249925	0.0814708416808411	0.115775921528457	0.000644667479251392	0.0426988247615732	0.0248589183049537	0.0569763077997625	0.436302724148392	0.662617105650785	0.358991040297734	0.812530477969967	41.5574014587318	0.206630135068184	fixed	SLC35E2,CDC42SE1,SEMA6C,CDC42BPA,CEP68,PRPF40A,SF3B1,TRAK2,VGLL4,NKTR,RASA2,KLHL24,GABRA2,SNCA,TSPAN5,MAP9,NEK1,IL6ST,GABRA1,ZNF292,PHACTR2,NCALD,TTF1,TFAM,ADRA2A,ABLIM1,SEC23IP,B3GNT1,NUMA1,ACAD8,CCND2,KRAS,PPFIBP1,SLC16A7,KIAA1033,FLRT2,DDX24,RBBP6,MYH10,MXRA7,MPPE1,TTC3	FALSE	DLPC_CMC	0.812530477969967
CTX:blue_M16_Neuron	246	914	0.135471641732484	0.0977595011926237	0.0733070031430082	0.0890189632655981	2.34303120965528e-06	0.0343816881218967	-0.106015460624942	0.140243005350921	-0.755941163408944	0.449684472551532	0.299422538649115	0.677704764558387	39.7808079985033	0.265586582044361	fixed	AKR7A2,PLA2G5,DR1,PHTF1,PRUNE,S100A1,BCAN,COPA,SDHC,VAMP4,FAM20B,EDEM3,TMCC2,CD46,MARK1,LGALS8,KIDINS220,ITGB1BP1,ITSN2,NCOA1,FEZ2,LRPPRC,MCFD2,CEP68,ACTR2,MRPL35,TXNDC9,CHST10,DDX18,RALB,RAB3GAP1,R3HDM1,SCRN3,ATP5G3,AGPS,DNAJC10,NAB1,MYO1B,HSPD1,ABI2,NDUFS1,CREB1,LANCL1,ARPC2,CUL3,EIF4E2,PLCL2,TRAK1,RBM6,PDHB,ARL6IP5,MINA,TOMM70A,CD200,ITGB5,SNX4,PLXND1,CDV3,KPNA4,NMD3,SERPINI1,MFN1,NDUFB5,ST6GAL1,FGF12,OPA1,EPHA5,RCHY1,G3BP2,SCARB2,SNCA,SLC39A8,BBS7,KIAA1109,HSPA4L,ARFIP1,GLRB,ETFDH,DCTD,HMGCS1,NNT,NDUFS4,IL6ST,HMGCR,AGGF1,SCAMP1,CKMT2,REEP5,YTHDC2,COMMD10,CSNK1G3,RNF14,YIPF5,NDST1,CNOT8,GABRG2,MAT2B,STK10,DRD1,CANX,MAPK9,SSR1,EEF1E1,HIST1H1C,ATP6V1G2,C6orf106,TMEM14A,RNGTT,MAP3K7,CD164,HSF2,ECHDC1,EPB41L2,STX7,PEX3,TULP4,WTAP,RPS6KA2,HEATR2,CHN2,BLVRA,H2AFV,CYP51A1,SLC12A9,COG5,MET,CUL1,FZD3,FGFR1,TPD52,TSPYL5,ATP6V1C1,LRP12,EBAG9,RAD21,DERL1,SQLE,LRRC6,ZNF34,SLC1A1,SNAPC3,DNAJA1,SPTLC1,BICD2,TMEFF1,CAMSAP1,GDI2,ANKRD26,MAPK8,HERC4,KIAA1279,ADK,GHITM,XPNPEP1,RRM1,DCHS1,GTF2H1,FEN1,PAK1,NARS2,PANX1,CEP57,CUL5,FDX1,ADAMTS8,TSPAN9,PEX5,CREBL2,ST8SIA1,BCAT1,PPFIBP1,TFCP2,DAZAP2,NAP1L1,MRPL42,SOCS2,SCYL2,ARL1,HSP90B1,SART3,CORO1C,GCN1L1,POP5,CAMKK2,RAN,SAP18,AKAP11,UCHL3,LIG4,TUBGCP3,CDC16,UPF3A,MAX,TGFB3,PPP2R5C,EIF5,SNRPN,SNURF,RTF1,ADAM10,GTF2A2,MAP2K1,IDH3A,CIB1,TM2D3,ABAT,GRIN2A,RRN3,NFATC2IP,CDH8,COG4,USP10,CRK,TSR1,ALDH3A2,FLOT2,GOSR1,NF1,AP2B1,SMARCE1,ACLY,MLX,DUSP3,COX11,PPM1E,FTSJ3,DCXR,NAPG,RBBP8,B4GALT6,C19orf53,UBA52,PAK4,SNRPA,GLTSCR2,KCNJ14,STAU1,PRPF6,TMEM50B,TTC3,SH3BGR,COL6A1,CRKL,UBE2L3,TOMM22,RPL3	FALSE	DLPC_CMC	0.677704764558387
CTX:brown_M15_Astrocyte	251	742	0.138143090900247	0.0986819706777571	0.0700588792447809	0.086321381497621	-3.36072305636433e-05	0.0348696847799548	-0.303662052493787	0.14163156857932	-2.14402802665933	0.0320306411981966	0.0852248722583159	0.192895639215806	33.3418366476438	0.548274058319206	fixed	PINK1,MED8,PRDX1,PPAP2B,CYP2J2,PGM1,LEPROT,SLC35D1,GNG5,CTBS,RBM15,PHGDH,SELENBP1,S100A13,KCNN3,RIT1,NDUFS2,ALDH9A1,KIFAP3,VAMP4,CACYBP,LAMC1,PPP2R5A,SMYD2,AGT,GPR137B,ACTN2,SMYD3,ADI1,LPIN1,KCNS3,HADHB,SLC30A3,PRKD3,EPAS1,EFEMP1,SLC1A4,GGCX,IMMT,REEP1,LIMS1,MERTK,RALB,ERCC3,PRPF40A,ITGA6,ITGAV,ADAM23,IDH1,ARPC2,PTPRN,PPP1R7,GPD1L,IL17RB,LRIG1,SUCLG2,SLC15A2,ITGB5,OSBPL11,ALDH1L1,RBP1,PLSCR4,SERP1,TNIK,HRASLS,MSX1,WFS1,GPR125,UCHL1,IGFBP7,PTPN13,SPARCL1,PDLIM5,FGF2,MFAP3L,SCRG1,SRD5A1,CDH12,AMACR,IL6ST,HEXB,FEM1C,GRAMD3,ALDH7A1,PCYOX1L,ELOVL2,DDAH2,RNF8,UBR2,MUT,MTO1,SNAP91,NT5E,TPD52L1,AKAP7,MOXD1,MAP3K5,IFNGR1,HEBP2,HIVEP2,SASH1,ZDHHC4,RPA3,AMPH,BLVRA,EGFR,LANCL2,SRI,ASNS,NDUFB2,MRPS33,ABCF2,CTSB,SCARA3,RBPMS,ASPH,PMP2,CPNE3,DECR1,PLEKHF2,BAALC,RIMS2,TRPS1,TRIB1,CDC37L1,UBAP1,TRPM3,PSAT1,NANS,TNC,STOM,ARPC5L,WDR37,AKR1C3,SEC61A2,OPTN,VIM,SGPL1,WAPAL,BMPR1A,FAS,ADD3,MXI1,ABLIM1,TACC2,CD81,TPP1,SWAP70,SPON1,BBOX1,PAX6,CD59,CAT,LRP4,PSMC3,FADS1,ASRGL1,PYGM,NDUFS8,PCF11,ME3,PRSS23,ARHGEF12,PRDM10,VAMP1,EPS8,SLCO1C1,ITPR2,HSD17B6,WIF1,BTG1,MYBPC1,CHPT1,UNG,ALDH2,ACADS,DIABLO,CDK2AP1,WASF3,GTF3A,FRY,GPC5,PARP2,PSMB5,ACTR10,MAX,VTI1B,MAP3K9,ALDH6A1,C14orf159,RPS27L,USP3,MAP2K5,IDH3A,FAH,ZNF710,RNPS1,SNN,NOMO3,IQCK,CHD9,CX3CL1,ATP6V0D1,COG8,PDF,TXNL4B,WWOX,SERPINF1,PLXDC1,TUBG2,ATP5G1,NME1,PITPNC1,ABCA5,KCNJ16,CDC42EP4,MRPS7,PRPSAP1,YES1,SLC14A1,ST8SIA3,BCL2,CDKN2D,ZNF14,RYR1,FTL,TFPT,ZNF304,IDH3B,VPS16,SNX5,RIN2,CST3,SDC4,PLTP,BMP7,GNAS,DOPEY2,CBS,ADARB1,PRODH,COMT,GNAZ,SLC2A11,TST,TOB2,NHP2L1,SULT4A1,SAMM50,FBLN1,MLC1	FALSE	DLPC_CMC	0.192895639215806
CTX:darkolivegreen_M6_PvalbInterneurons	12	21	0.148274464028361	0.0936196685466151	0.0973936517889788	0.0990761707326408	0.000442279550380578	0.0338514012650189	0.0461482384597059	0.0309183367914086	1.4925847651847	0.13554591369834	0.178343907294483	0.403658710024726	44.3270458639165	0.134158499139887	fixed	SMYD2,SLC25A12,SV2C,TPBG,ASB13,INA,SLC17A6,VAMP1,AKAP6,CHGA,PCP4,PVALB	FALSE	DLPC_CMC	0.403658710024726
CTX:green_M10_GlutamatergicSynapticFunction	107	484	0.122820768572546	0.0934316844239444	0.0669768466623189	0.0823224445806992	0.000285775590864716	0.0358739039791136	0.0870219512988651	0.0911255686615769	0.954967443024121	0.339594161408006	0.274632904073969	0.621596585331019	30.3025024631364	0.694285613722741	fixed	CTNNBIP1,EFHD2,ATP13A2,NBL1,RAP1GAP,NUDC,PEF1,HPCA,LRP8,TMED5,KIF21B,C1orf95,GREB1,KCNK3,MAPRE3,PIGF,FANCL,XPO1,EIF2AK3,HIBCH,LRRFIP2,VIPR1,HIGD1A,DHX30,NEK4,MINA,PTPLB,SCHIP1,MCCC1,RGS12,YTHDC1,ADH5,TRIM2,PAIP1,ANKRA2,TBCA,CAST,SAR1B,PPP2R2B,SNCB,SSR1,FAM8A1,FLOT1,TAPBP,ENPP4,SENP6,ZNF292,ASF1A,LSM5,MSRA,LY6E,SPTLC1,CDK9,C9orf16,PPP2R4,TFAM,SNCG,CTBP2,UROS,DEAF1,AP2A2,CTSD,TRIM3,TMEM41B,C11orf58,NUP160,GPR137,PPFIA1,CEP57,DPAGT1,THY1,USP5,PEX5,ARF3,MDM1,RAB21,NAP1L1,BBS10,ZDHHC17,KIAA1033,ZNF140,PNN,SAV1,KTN1,EML1,THAP10,AP3B2,ZNF710,DOC2A,MAPK3,RBL2,CX3CL1,CDK10,POLR2A,FLOT2,GGA3,ARMC6,STRN4,NUCB1,CNOT3,SYT5,PSMF1,SEC23B,BLCAP,PCMTD2,CABIN1,NIPSNAP1	FALSE	DLPC_CMC	0.621596585331019
