path	ngenes_tscore	ngenes_path	mean_dev_geno	sd_dev_geno	mean_test_dev_geno	sd_test_dev_geno	mean_gene_corr	sd_gene_corr	Dx_beta	Dx_se_beta	Dx_z	Dx_pval	Dx_qval	Dx_pval_BHcorr	Dx_Cochran_stat	Dx_Cochran_pval	Dx_model	genes_path	improvement_sign	tissue	Dx_pval_BHcorr_overall
2-LTR circle formation	3	13	0.0661915760164042	0.0727737988408691	0.0123355776030445	0.00944745580481276	-0.00945734715963811	0.0329332210351181	-0.0110743236865574	0.0156201739992202	-0.708975693043516	0.478339560913081	0.570753517690977	0.77709000686706	46.8659056587643	0.0866827006229732	fixed	XRCC4,BANF1,LIG4	TRUE	DLPC_CMC	0.776674115905197
A tetrasaccharide linker sequence is required for GAG synthesis	8	26	0.139183476341695	0.164263794433716	0.0479467210910202	0.0798031594279821	-0.00172839424897123	0.0335672311865376	-0.00858870724219666	0.0253152444332157	-0.339270168409971	0.734406213507622	0.66746310121527	0.908761645491446	31.7064486432695	0.627901292739702	fixed	BCAN,B3GAT2,B3GAT1,DCN,GPC5,XYLT2,NCAN,SDC4	FALSE	DLPC_CMC	0.907580136759977
A third proteolytic cleavage releases NICD	3	9	0.0386433445105149	0.0146272269168929	0.01496032172894	0.00864634051863531	-0.00203995822187445	0.0304127175829836	0.0605922137943309	0.015624714016271	3.87797266121047	0.000105330550241823	0.00483868531657613	0.00658794714239767	39.2404794691525	0.2854528956315	fixed	NOTCH4,NOTCH1,PSEN1	FALSE	DLPC_CMC	0.00580951058116723
ABC transporter disorders	20	63	0.138105819686739	0.0875513333336231	0.0850263008603081	0.0808195714295882	-0.000756087871878462	0.0458013336004886	-2.98783580681389e-05	0.0400394451519844	-0.000746223079633711	0.999404600181103	0.734038124424745	0.999404600181103	20.7421272363005	0.973223325276955	fixed	PSMD4,PSMB4,PSME4,PSMB8,PSMB9,PSMB1,CFTR,DERL1,PSMD5,PSMD13,KCNJ11,ABCC8,PSMC3,PSMB5,PSMA4,PSMB6,PSMC5,UBA52,PSMF1,RNF185	FALSE	DLPC_CMC	0.999685608082181
ABC transporters in lipid homeostasis	5	18	0.18865886548437	0.091083235127127	0.127666404193656	0.0965736438777469	0.123298461829106	0.278140472994947	-0.0080086442249551	0.0162195104371859	-0.493766088438402	0.621471385210542	0.6389822547975	0.869984519372448	36.9683250875404	0.378123565457621	fixed	PEX3,ABCA6,ABCA10,ABCA5,ABCG1	TRUE	DLPC_CMC	0.860819204635187
ABC-family proteins mediated transport	30	103	0.141874752591776	0.0802540068215424	0.0849785092266537	0.0791366696905357	0.00287437047949742	0.0583346683057078	-0.046382581242776	0.046553173902265	-0.996335531067181	0.3190871455243	0.489612456714604	0.666615159709887	33.0789082897862	0.56111564518172	fixed	ABCA4,PSMD4,PSMB4,PSME4,ABCC5,PSMB8,PSMB9,PEX3,PSMB1,CFTR,DERL1,PSMD5,PSMD13,KCNJ11,PSMC3,ABCC9,ABCC4,PSMB5,PSMA4,ABCC1,PSMB6,PSMC5,ABCA8,ABCA6,ABCA10,ABCA5,UBA52,PSMF1,ABCG1,RNF185	FALSE	DLPC_CMC	0.664414703074449
ADP signalling through P2Y purinoceptor 12	7	22	0.0931174021795182	0.0588495429789151	0.0368563769979306	0.0475131939465102	-0.00121720054945909	0.0321427898027913	-0.0354698083201086	0.0235965566621371	-1.50317729946689	0.132793329695425	0.332193095956862	0.452286192229962	32.2397591963138	0.602060833399061	fixed	GNG5,GNG4,P2RY12,GNB4,GNAI1,GNG2,GNG7	FALSE	DLPC_CMC	0.453308504044606
AKT phosphorylates targets in the cytosol	2	14	0.127019697177068	0.0515582091545735	0.0499434909401038	0.0660811835553987	-0.000546541807582969	NA	-0.00138991924486847	0.0126602884080122	-0.109785748955675	0.912579293406021	0.713072800099905	0.970859977119523	29.3773972033484	0.735951177276373	fixed	CASP9,MKRN1	FALSE	DLPC_CMC	0.971525503842593
ALKBH3 mediated reversal of alkylation damage	3	4	0.216648856290027	0.0743561627068399	0.128004049512653	0.105133131858346	0.00282142839414505	0.0293951348361851	-0.0350969768766391	0.0153107126222698	-2.29231504388566	0.0218874703491122	0.130119491076994	0.177159760002226	39.2914884302844	0.283539776134056	fixed	ASCC3,ASCC1,ALKBH3	FALSE	DLPC_CMC	0.18594299746938
AMER1 mutants destabilize the destruction complex	4	14	0.157930598886156	0.0981466022532383	0.0954905032478841	0.103914910872529	0.00682144452002661	0.0322201968650213	-0.0116204814257109	0.0177438319995361	-0.654902583952259	0.512530476482266	0.584630783986798	0.795984126004061	27.1080900882553	0.827380002478146	fixed	PPP2R5A,PPP2R1B,PPP2R5C,AXIN1	FALSE	DLPC_CMC	0.796734616598498
