path	ngenes_tscore	ngenes_path	mean_dev_geno	sd_dev_geno	mean_test_dev_geno	sd_test_dev_geno	mean_gene_corr	sd_gene_corr	Dx_beta	Dx_se_beta	Dx_z	Dx_pval	Dx_qval	Dx_pval_BHcorr	Dx_Cochran_stat	Dx_Cochran_pval	Dx_model	genes_path	improvement_sign	tissue	Dx_pval_BHcorr_overall
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	6	18	0.122498354253152	0.0379535242279325	0.0631291920677498	0.0565539572548523	0.000426877596561791	0.0322435069465148	0.0472212987370606	0.021808206796388	2.16529947546544	0.0303647585194631	0.136244278520929	0.157584053982799	43.81260280589	0.145890904666853	fixed	MTOR,MKNK1,EIF4E,MAP3K5,MAP2K1,MAPK3	FALSE	DLPC_CMC	0.178608126075935
ACE Inhibitor Pathway WP554	2	17	0.332972739182973	0.0327728208450709	0.210002968277123	0.0240611888082013	-0.00435089654533039	NA	-0.00202954473925546	0.012549505860036	-0.161723079927677	0.871523928639031	0.841387927868557	0.973173494587124	34.8388863914474	0.47586574515783	fixed	AGT,BDKRB2	FALSE	DLPC_CMC	0.954485880563434
AGE/RAGE pathway WP2324	14	66	0.116149351303791	0.0681990804457174	0.0457521280008105	0.0540687570151443	0.00148596392224572	0.0333432489693196	0.0279853756209065	0.0330942556453275	0.845626380627107	0.397761204074231	0.602024510291527	0.696318876349547	38.6167613705711	0.309467343807928	fixed	CASP9,ALPL,RHOA,PRKCD,CASP3,MAPK9,EGFR,JAK2,MAPK8,LGALS3,MAP2K1,MAPK3,NOS2,ROCK1	FALSE	DLPC_CMC	0.690624205735311
AMP-activated Protein Kinase (AMPK) Signaling WP1403	16	69	0.119565754672272	0.0769551538001405	0.0624789713027717	0.0753048003279389	-0.000367158033940732	0.034406371585206	-0.0272943026062205	0.0357264444925536	-0.763980379069331	0.444878935302587	0.617681719676677	0.714428455377414	55.5954674825353	0.0148574978279409	fixed	PIK3CD,MTOR,PRKAA2,LEPR,ADIPOR1,HMGCR,PIK3CG,ADRA1A,PRKAB1,CAMKK2,EEF2K,ACACA,RPS6KB1,FASN,PIK3C3,CPT1C	FALSE	DLPC_CMC	0.720488746442333
ATM Signaling Network in Development and Disease  WP3878	12	45	0.107375170819585	0.0515261346120657	0.0486409422634843	0.0357539379790794	0.000904707421415411	0.0330564672167208	0.036069494843388	0.030869541401142	1.16844932597715	0.242625568249827	0.479473393571175	0.554572727428177	40.6245207081823	0.236358691640557	fixed	MTOR,RIF1,CEP63,RNF8,MAP3K5,CDK1,ATM,H2AFX,CHEK1,TP53BP1,RNF40,RBBP8	FALSE	DLPC_CMC	0.538383852899959
ATM Signaling Pathway WP2516	16	40	0.0973932840486076	0.0602331255457369	0.0368705986464394	0.0378562376976522	0.000564314492065389	0.0341480163376238	-0.0278084967788608	0.0357115699061006	-0.778697123984747	0.436158150686671	0.610713682709702	0.706369023264165	27.8984207610725	0.797554981961289	fixed	MDM4,TLK1,CREB1,CDC25A,MAPK9,RIPK1,ABL1,CDK1,ATM,H2AFX,CHEK1,CRADD,TP53BP1,AP3B2,BRCA1,BID	FALSE	DLPC_CMC	0.716303811427827
ATR Signaling WP3875	2	9	0.0989707630758632	0.0619991447057061	0.0600098311122291	0.0501301376784089	0.00372452633971026	NA	0.0268217325567028	0.0126143248419181	2.12629156873879	0.0334789896442861	0.142095204788838	0.164351403708313	25.7978242196391	0.871340728184902	fixed	ATRIP,CHEK1	FALSE	DLPC_CMC	0.187650385686382
Acetylcholine Synthesis WP528	2	7	0.130376820040595	0.0446252281332544	0.030386290824793	0.00633465523891431	6.0946721496673e-05	NA	-0.0219967095338251	0.0125875428554158	-1.74749828353998	0.0805509423880716	0.252452917793025	0.291994310935412	37.9381288341001	0.336859188327377	fixed	PCYT1A,ACHE	FALSE	DLPC_CMC	0.306826937672038
Adipogenesis WP236	39	130	0.128665547943068	0.117817418456085	0.0687480964375449	0.106183023633322	-0.000152206767340625	0.0341124344157567	0.033658790260592	0.0557409339146515	0.603843314002042	0.545947819210822	0.695942352026681	0.804946955286945	28.7538709329281	0.76276248374068	fixed	ZMPSTE24,RXRG,AGT,LPIN1,NCOA1,EPAS1,CYP26B1,CREB1,PPARG,CTNNB1,PPARGC1A,BMP3,PRLR,LIFR,IL6ST,TWIST1,NAMPT,LPL,GDF10,CISD1,FAS,CYP26A1,CELF1,WNT10B,STAT6,HNF1A,GTF3A,RB1,PCK2,BMP4,NDN,PLIN1,MEF2A,RBL2,E2F4,LPIN2,E2F1,RBL1,LPIN3	FALSE	DLPC_CMC	0.793827714704525
Aflatoxin B1 metabolism WP699	3	7	0.0985439224708029	0.110811710351241	0.0243555075189039	0.0406466664196473	0.106779637555893	0.186386767335321	0.023644199267881	0.0139781820253396	1.69150746678065	0.0907399229204485	0.263651398168187	0.304946795657138	25.2330519390554	0.88804463872849	fixed	AKR7A3,AKR7A2,GSTM1	FALSE	DLPC_CMC	0.325106289985696
